URUN KODU;MAGAZA;DEPO;ISLEM TIPI;MLZ.BELGE;ISLEM TARIHI;MIKTAR;BIRIM;MAGAZA ADI;IRSALIYE;URUN TANIMI;TUTAR;SAS NO;SATICI KODU;GIRIS SAATI;BOLGE;BOLGE ADI;GIRIS TARIHI;KDV LI TUTAR;
000000000014000024;0002;0001;913;;08.10.2019;   2,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-040039;EKMEK KARADENÝZ 500G;        5,93;;0000011723;13:05:00;9916;Ümraniye;08.10.2019;        7,50;
000000000014000024;0002;0001;913;;16.10.2019;   4,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-40225;EKMEK KARADENÝZ 500G;       11,85;;0000011723;13:06:44;9916;Ümraniye;16.10.2019;       15,00;
000000000014000041;0002;0001;913;;01.10.2019;  10,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-542800;EKMEK;        7,93;;0000011723;00:05:32;9916;Ümraniye;02.10.2019;        9,00;
000000000014000041;0002;0001;913;;01.10.2019;  19,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075317;EKMEK;       16,72;;0000011723;00:05:31;9916;Ümraniye;02.10.2019;       17,10;
000000000014000041;0002;0001;913;;02.10.2019;  20,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-542924;EKMEK;       15,86;;0000011723;00:05:45;9916;Ümraniye;03.10.2019;       18,00;
000000000014000041;0002;0001;913;;02.10.2019;  20,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075328;EKMEK;       15,84;;0000011723;00:05:44;9916;Ümraniye;03.10.2019;       18,00;
000000000014000041;0002;0001;913;;03.10.2019;  25,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075338;EKMEK;       19,75;;0000011723;00:06:17;9916;Ümraniye;04.10.2019;       22,50;
000000000014000041;0002;0001;913;;03.10.2019;  14,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543065;EKMEK;       11,09;;0000011723;00:06:17;9916;Ümraniye;04.10.2019;       12,60;
000000000014000041;0002;0001;913;;04.10.2019;  25,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075348;EKMEK;       19,77;;0000011723;00:04:55;9916;Ümraniye;05.10.2019;       22,50;
000000000014000041;0002;0001;913;;04.10.2019;   9,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543185;EKMEK;        7,11;;0000011723;13:05:05;9916;Ümraniye;04.10.2019;        8,10;
000000000014000041;0002;0001;913;;05.10.2019;   1,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543338;EKMEK;        0,79;;0000011723;13:05:13;9916;Ümraniye;05.10.2019;        0,90;
000000000014000041;0002;0001;913;;05.10.2019;  17,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075508;EKMEK;       13,43;;0000011723;00:06:09;9916;Ümraniye;06.10.2019;       15,30;
000000000014000041;0002;0001;913;;06.10.2019;  14,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543453;EKMEK;       11,06;;0000011723;13:06:52;9916;Ümraniye;06.10.2019;       12,60;
000000000014000041;0002;0001;913;;06.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075517;EKMEK;       11,85;;0000011723;00:05:37;9916;Ümraniye;07.10.2019;       13,50;
000000000014000041;0002;0001;913;;07.10.2019;  21,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075528;EKMEK;       16,59;;0000011723;00:05:40;9916;Ümraniye;08.10.2019;       18,90;
000000000014000041;0002;0001;913;;08.10.2019;  14,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075538;EKMEK;       11,06;;0000011723;00:05:26;9916;Ümraniye;09.10.2019;       12,60;
000000000014000041;0002;0001;913;;08.10.2019;  22,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543682;EKMEK;       17,38;;0000011723;00:05:28;9916;Ümraniye;09.10.2019;       19,80;
000000000014000041;0002;0001;913;;09.10.2019;  20,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075548;EKMEK;       15,80;;0000011723;00:05:31;9916;Ümraniye;10.10.2019;       18,00;
000000000014000041;0002;0001;913;;09.10.2019;  13,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543764;EKMEK;       10,27;;0000011723;00:05:30;9916;Ümraniye;10.10.2019;       11,70;
000000000014000041;0002;0001;913;;10.10.2019;  14,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-543924;EKMEK;       11,06;;0000011723;00:06:33;9916;Ümraniye;11.10.2019;       12,60;
000000000014000041;0002;0001;913;;10.10.2019;  12,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075608;EKMEK;        9,48;;0000011723;00:06:33;9916;Ümraniye;11.10.2019;       10,80;
000000000014000041;0002;0001;913;;11.10.2019;  14,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-544057;EKMEK;       10,54;;0000011723;00:06:24;9916;Ümraniye;12.10.2019;       10,50;
000000000014000041;0002;0001;913;;11.10.2019;  22,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075618;EKMEK;       17,38;;0000011723;00:06:22;9916;Ümraniye;12.10.2019;       16,50;
000000000014000041;0002;0001;913;;12.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075751;EKMEK;        9,90;;0000011723;00:06:00;9916;Ümraniye;13.10.2019;       11,25;
000000000014000041;0002;0001;913;;12.10.2019;  12,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-544210;EKMEK;        7,92;;0000011723;13:07:00;9916;Ümraniye;12.10.2019;        9,00;
000000000014000041;0002;0001;913;;13.10.2019;  19,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075755;EKMEK;       12,54;;0000011723;00:05:34;9916;Ümraniye;14.10.2019;       14,25;
000000000014000041;0002;0001;913;;13.10.2019;  10,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-559185;EKMEK;        6,60;;0000011723;00:05:35;9916;Ümraniye;14.10.2019;        7,50;
000000000014000041;0002;0001;913;;14.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-559042;EKMEK;        9,90;;0000011723;13:06:46;9916;Ümraniye;14.10.2019;       11,25;
000000000014000041;0002;0001;913;;14.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075759;EKMEK;        9,90;;0000011723;00:05:51;9916;Ümraniye;15.10.2019;       11,25;
000000000014000041;0002;0001;913;;15.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-558916;EKMEK;        9,90;;0000011723;13:11:07;9916;Ümraniye;15.10.2019;       11,25;
000000000014000041;0002;0001;913;;15.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075763;EKMEK;        9,90;;0000011723;00:06:05;9916;Ümraniye;16.10.2019;       11,25;
000000000014000041;0002;0001;913;;16.10.2019;  15,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-588796;EKMEK;        9,90;;0000011723;13:06:45;9916;Ümraniye;16.10.2019;       11,25;
000000000014000041;0002;0001;913;;16.10.2019;  13,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075767;EKMEK;        8,58;;0000011723;00:05:37;9916;Ümraniye;17.10.2019;        9,75;
000000000014000042;0002;0001;913;;03.10.2019;   1,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075338;EKMEK BÜYÜK;        1,26;;0000011723;00:06:17;9916;Ümraniye;04.10.2019;        1,50;
000000000014000042;0002;0001;913;;04.10.2019;   1,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075348;EKMEK BÜYÜK;        1,26;;0000011723;00:04:55;9916;Ümraniye;05.10.2019;        1,50;
000000000014000042;0002;0001;913;;06.10.2019;   2,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075517;EKMEK BÜYÜK;        2,52;;0000011723;00:05:37;9916;Ümraniye;07.10.2019;        3,00;
000000000014000042;0002;0001;913;;07.10.2019;   1,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075528;EKMEK BÜYÜK;        1,26;;0000011723;00:05:40;9916;Ümraniye;08.10.2019;        1,50;
000000000014000042;0002;0001;913;;09.10.2019;   1,000;ST;Hamza Yerlikaya Ümraniye Ýstan;2-075548;EKMEK BÜYÜK;        1,26;;0000011723;00:05:31;9916;Ümraniye;10.10.2019;        1,50;
